file_name,canonical_method,canonical_variable,policy_domain,target_countries,geopolitical_scope,method_family,policy_actionability_score,policy_recommendation_excerpt
20. Bezek-Güre et al. (2020) Analysis of Factors Effecting PISA 2015 Mathematics Literacy via Educational Data Mining EN.pdf,Random Forest,Math achievement status (low/medium/high),Resource_Allocation_Equity;Socio-Emotional_Intervention,TUR,Country-Specific,Ensemble_Learning,4,"Using PISA 2015 Mathematics (Turkey) the study leveraged anxiety, Turkish success status, mother education level, motivation, and epistemological beliefs to predict students’ mathematics achievement status (low/medium/high)."
21. Koo & Yoo. (2025). Teachers’ team innovativeness in TALIS 2018: An empirical and simulation study using glmmLasso for multilevel data.pdf,glmmLasso,Teachers’ team innovativeness (T3TEAM),Teacher_Workforce_Development;Governance_and_School_Climate;Socio-Emotional_Intervention,KOR,Country-Specific,Hybrid_Penalized,3,"Using TALIS 2018 Korea the study leveraged teacher collaboration indicators (e.g., joint activities across classes/ages, common standards work, team conferences) and teacher self-efficacy to predict teachers’ team innovativeness (T3TEAM), finding that most key predictors had positive associations while the school climate item on shared responsibility for school issues (TT3G48D) showed a negative association; glmmLasso achieved comparable predictive error to LASSO/Enet but selected a substantially smaller, more stable set of predictors."
22. Cheung et al. (2024). A machine-­ learning model of academic resilience in the times of the COVID-­ 19 pandemic: Evidence drawn from 79 countries:economies in the PISA 2022 mathematics study.pdf,Random Forest,Academic resilience status (ARS=1 vs NRS=0),Resource_Allocation_Equity;Socio-Emotional_Intervention,Unspecified,Unspecified,Ensemble_Learning,3,"Using PISA 2022 Mathematics the study leveraged math self-efficacy, math anxiety, familiarity with math concepts, truancy, and future aspirations to classify academic resilience status (ARS vs NRS), finding that the random-forest model achieved strong discrimination (ROC-AUC=96.79%) and that the top 35 features largely validated the prior resilience framework; SHAP was used to quantify feature contributions, but the paper is cross-sectional so SHAP-based importance should not be interpreted as causal effects."
23. Encarnação et al. (2025). Hierarchical clustering of the pre- exam anxiety levels in physically inactive and active adolescent students from 56 countries: an observational study using PISA program data.pdf,None,Pre-exam anxiety percentage (country-level) | Difference in pre-exam anxiety percentage (low vs high activity),Socio-Emotional_Intervention,AUS;BRA;FIN;EST;CHL;URY;DOM;NLD;ISR;DNK;TWN;COL;DEU;LTU;JPN;MNE;CRI;SVK;LUX;TUR;ESP;MYS;RUS;FRA;HUN;IRL;SGP;LVA;POL;CYP;MAC;GBR;CHE;BEL;TUN;PER;USA;CZE;CHN;PRT;NZL;KOR;SVN;NOR;GRC;ARE;QAT;BGR;HKG;AUT;CAN;SWE;MEX;HRV;THA;ISL,Global,Review_or_Methodology,3,"Using PISA 2018 the study leveraged physical activity status (low activity subgroup) to cluster countries by pre-exam anxiety percentage, finding that the most anxious countries formed two high-anxiety clusters (H-1: 67%, H-2: 78%) while three lower-anxiety clusters (L-1: 41%, L-2: 52%, L-3: 60%) emerged, with Brazil and the Dominican Republic among the highest-anxiety cluster members."
24. Wang et al. (2022). Why do East Asian students do so well in mathematics? A machine learning study.pdf,Random Forest,Mathematics achievement (Plausible Values; mean across five PV regressions),Resource_Allocation_Equity,TWN;HKG;JPN;KOR;SGP,Multi-Country,Ensemble_Learning,4,"Using TIMSS 2019 Grade 8 mathematics the study leveraged students’ confidence in mathematics, student SES, and school emphasis on academic success (among other socio-ecological factors) to predict mathematics achievement, finding that the top 11 predictors explained 49% of the variance (R²=0.49; RMSE=0.71) and that the three most important variables were students’ confidence, SES, and school academic emphasis."
25. Anersen et al. (2025). Algorithmic Fairness in Automatic Short Answer Scoring.pdf,SVM,Item correctness (correct vs incorrect) predicted from text | Automatic-vs-human scoring bias (demographic disparity) for gender and language groups,Cross-Cutting_Methodological,DEU,Country-Specific,Traditional_Stats,3,"Using PISA 2015 (Germany) reading-literacy item the study leveraged gender, language spoken at home, student performance level, psychometric item difficulty, and linguistic variance of responses to predict item correctness from short text responses, finding that the SVM with RoBERTa sentence embeddings achieved the highest overall agreement with human scoring (κ = 0.82) and that higher scoring accuracy generally corresponded to lower demographic disparity."
26. Bencomo-Mesa et al. (2025). Inequality of Opportunity in Education in Spanish Regions: A Machine Learning Approach.pdf,Conditional Inference Forests,Inequality of opportunity in science achievement (IOpE),Resource_Allocation_Equity;Governance_and_School_Climate;Socio-Emotional_Intervention,ESP,Country-Specific,Ensemble_Learning,4,"Using PISA 2018 science data for Spain’s regions, the study leveraged number of books at home, household cultural possessions, and parental occupation (mother/father) to predict achievement within conditional inference trees/forests and then computed IOpE as the share of achievement variance explained by circumstances, finding that the preferred CIF specification yields IOpE more than twice the traditional linear-regression estimates (on average 43% vs 20%), with Murcia and Extremadura among the highest and Castilla-La Mancha and País Vasco among the lowest."
27. Cai et al. (2025). A study on factors influencing digital sports participation among Chinese secondary school students based on explainable machine learning.pdf,Logistic Regression,Digital Sports participation (binary),Resource_Allocation_Equity;Socio-Emotional_Intervention,HKG,Country-Specific,Traditional_Stats,4,"Using PISA 2018 (Hong Kong, China) the study leveraged academic performance, weekly PE days, household ICT resources, school ICT resources, and ICT social perception to predict students’ digital sports participation, finding that weekly PE days, household ICT resources, school ICT resources, and ICT social perception were positively associated with participation, while academic performance showed a negative association."
28. Jung et al. (2024). Combining machine translation and automated scoring in international large-scale assessments.pdf,Neural Network,Automated item scoring agreement (human vs machine) | Psychometric similarity of machine scores (AITC and item difficulty),Cross-Cutting_Methodological,DEU;AUT;FRA;TUR;USA;CHN;KOR,Multi-Country,Deep_Learning,3,"Using TIMSS 2019 Grade 4 Science constructed-response the study leveraged machine translation engine choice, original response language, item identity, and country context to predict dichotomous correctness, finding that automated scoring with ANN classifiers achieved comparable human-machine agreement (average F1=0.88, kappa=0.80) with only marginal mean score differences (average SMD=-0.04), though performance was weaker for specific items/countries (notably Item 5 and Item 6 in C6)."
29. Huang et al. (2024). Applying Machine Learning and SHAP Method to Identify Key Influences on Middle-School Students’ Mathematics Literacy Performance.pdf,XGBoost,Mathematics literacy (PV1MATH),Resource_Allocation_Equity;Socio-Emotional_Intervention,HKG;MAC;TWN;SGP;JPN;KOR,Multi-Country,Ensemble_Learning,4,"Using PISA 2022 Mathematics literacy (PV1MATH) data from Hong Kong, Macao, Taipei, Singapore, Japan, and Korea, the study leveraged Math self-efficacy, expected occupational status, ESCS, weekend ICT leisure frequency, and math anxiety to predict mathematics literacy, finding that XGBoost achieved the best validation performance (R2=0.60; PCC=0.77) and that SHAP-based global explanations identified 15 key predictors with math self-efficacy as the strongest positive influence; the authors caution that SHAP explanations do not establish causal effects."
3. Zhou et al. (2024). Investigating response behavior through TF-IDF and Word2vec text analysis_ A case study of PISA 2012 problem-solving process data.pdf,Random Forest,Correct answer (binary 0/1),Cross-Cutting_Methodological,Unspecified,Unspecified,Ensemble_Learning,3,"Using PISA 2012 Problem Solving process data (Climate control CP02501) the study leveraged VOTAT navigation behavior, sequence length, reset frequency, and 0_0_0 behavior usage to predict correct answer (binary 0/1), finding that Random Forest with TF-IDF features achieved the best overall performance (F1=0.8419; Accuracy=0.8231; Recall=0.8572)."
30. Wang et al. (2023). Understanding Students’ Subjective and Eudaimonic Well‑Being: Combining both Machine Learning and Classical Statistics.pdf,Random Forest,Positive affect (SWBP) | Negative affect (SWBN) | Life satisfaction (SWBL) | Eudaimonic well-being (EUDA; meaning in life),Curriculum_and_Instruction;Resource_Allocation_Equity;Teacher_Workforce_Development;Governance_and_School_Climate;Socio-Emotional_Intervention,HKG,Country-Specific,Ensemble_Learning,4,"Using PISA 2018 Hong Kong the study leveraged sense of belonging to school and resilience (plus additional microsystem/mesosystem factors) to predict positive affect, finding that school belonging was the most salient predictor and resilience was the second most influential factor (best model achieved R²=19.15% with RMSE=0.81 under 10-fold CV)."
31. Zhang & Cutumisu. (2024). Predicting the Mathematics Literacy of Resilient Student.pdf,Random Forest,Mathematics literacy (Plausible Values 1–10),Curriculum_and_Instruction;Resource_Allocation_Equity;Socio-Emotional_Intervention,AUS;AUT;BEL;CAN;CZE;DNK;EST;FIN;IRL;LVA;NLD;NZL;POL;SVN;SWE;CHE;GBR;TWN;HKG;JPN;KOR;MAC;SGP,Global,Ensemble_Learning,3,"Using PISA 2022 Mathematics literacy data for resilient students in Eastern cultures, the study leveraged mathematics self-efficacy (21st-century and formal/applied), mathematics anxiety, effort/persistence, and working-in-household indicators to predict mathematics literacy (PVs 1–10) with Random Forest and Lasso; Random Forest achieved lower RMSE/MAE than Lasso and the most important predictors in Eastern cultures included MATHEF21, MATHEFF, and ANXMAT."
32. Resinoet al. (2024). Student well-being and mathematical literacy performance in PISA 2018  a machine-learning approach.pdf,Random Forest,Mathematical literacy achievement (PVs),Resource_Allocation_Equity;Socio-Emotional_Intervention,ESP,Country-Specific,Ensemble_Learning,4,"Using PISA 2018 (Spain) mathematical literacy plausible values the study leveraged social well-being variables (talking to parents’ partners and time with friends) together with physical and material well-being indicators to predict mathematical literacy, finding that social well-being—especially communication with parents’ partners and peer time—was among the most influential predictors and that the best-performing models were selected via lowest RMSE across plausible values."
33. McJames et al. (2024). Little and often: Causal inference machine learning demonstrates the benefits of homework for improving achievement in mathematics and science.pdf,BCF,Mathematics achievement (Plausible Values) | Science achievement (Plausible Values) | Moderation by socioeconomic resources (homework effect heterogeneity),Curriculum_and_Instruction;Resource_Allocation_Equity,IRL,Country-Specific,Ensemble_Learning,5,"Using TIMSS 2019 Grade 8 Mathematics (Ireland) the study leveraged student background and school/context controls (e.g., parents' education, books at home, school average SES) together with homework frequency/duration to predict mathematics achievement (PVs), finding that increasing homework frequency to every day produced a positive causal ATE (7.51 points; 95% CrI 1.63–16.57), while increasing homework duration beyond 15 minutes showed no clear benefit."
34. Miranda et al. (2021). Development of INSVAGRAM: An English Subject-Verb Agreement Mobile Learning Application.pdf,None,Literature synthesis outcome (not student-level prediction),Cross-Cutting_Methodological,PHL,Country-Specific,Review_or_Methodology,2,"Using OECD the study leveraged the reported predictors to predict Literature synthesis outcome (not student-level prediction), finding that This paper reports the development of the INSVAGRAM mobile learning application for English subject-verb agreement, guided by (i) a questionnaire profiling 132 fifth-grade students’ access to technology and technology aptitude and (ii) virtual interviews with five English teachers to identify the least mastered topic."
35. Nguyen et al. (2023). An evaluation of tiered machine learning framework to predict science achievement among Singapore students.pdf,XGBoost,Science achievement class (5 categories),Resource_Allocation_Equity;Socio-Emotional_Intervention,SGP,Country-Specific,Ensemble_Learning,4,"Using TIMSS 2019 Grade 8 Science data for Singapore, the study leveraged socioeconomic status (parents), confidence in science, and valuing science to predict science achievement class membership, finding that the tiered framework selected XGBoost as the best-performing classifier (highest accuracy and precision) with MAE as low as 0.99, despite only moderate correlation between predictors and the achievement target."
36. Alvarez-Garcia et al. (2024). Uncovering student profiles. An explainable cluster analysis approach to PISA 2022.pdf,XGBoost,Student cluster membership (7 clusters) | Academic performance differences across clusters (Math/Science/Reading),Resource_Allocation_Equity,ESP,Country-Specific,Ensemble_Learning,3,"Using PISA 2022 Spain the study leveraged socioeconomic status (ESCS), ICT use at home and school, and gender to classify students into 7 explainable clusters, finding that ESCS and ICT-use variables had the highest predictive power for cluster membership and that the best model achieved 0.8643 test accuracy."
37. Guo et al. (2024). Large-Scale Assessments for Learning: A Human-Centred AI Approach to Contextualizing Test Performance.pdf,Random Forest,Process profile label (11 profiles),Socio-Emotional_Intervention,USA,Country-Specific,Ensemble_Learning,3,"Using NAEP 2017 Grade 8 Mathematics released digital assessment the study leveraged item response correctness, discretized response-time patterns, and discretized tool-use sequences (preserving early/middle/late context) to create and annotate 11 student process profiles, finding that profile labels largely align with raw score levels (from very low/disengaged to highest-performing) while providing additional context on engagement, rapid responding, speededness, and tool regulation."
38. Hernández-Ramos & Araya. (2025). Do School Activities Foster Creative Thinking? An Analysis of PISA Results.pdf,None,Creative thinking mean score (PISA 2022) | Scientific problem-solving domain score (PISA 2022),Curriculum_and_Instruction;Socio-Emotional_Intervention,AUS;CAN;DNK;HKG;IRL;JAM;LVA;NLD;NZL;PAN;GBR,Global,Review_or_Methodology,3,"Using PISA 2022 Creative Thinking country/economy mean scores, the study leveraged the verbal/critical activities composite (Var 1) and the art/music activities composite (Var 2) to predict creative thinking mean score, finding that Var 1 had a strong negative association while Var 2 had a smaller positive association; programming activity participation was not statistically significant."
39. Zheng et al. (2025). Unfolding key factors of resilience in ICT cognitive-motivational engagement: Global evidence from machine learning techniques.pdf,SVM,Resilience in ICT engagement (IRS vs NRS),Resource_Allocation_Equity;Socio-Emotional_Intervention,Unspecified,Unspecified,Traditional_Stats,3,"Using PISA 2018 ICT familiarity questionnaire the study leveraged ICT use outside school, ICT resources at home, self-efficacy, gender, and parents’ emotional support to classify resilience in ICT engagement (IRS vs NRS), finding that SVM achieved the best overall discrimination by F-measure (87.78%) and very high recall (97.09%), while Logistic Regression was the weakest (F-measure=69.51%)."
4. Zheng et al. (2023). Identifying key features of resilient students in digital reading: Insights from a machine learning approach.pdf,SVM,Academic resilience classification (ARS vs NRS; binary),Curriculum_and_Instruction;Resource_Allocation_Equity;Teacher_Workforce_Development;Governance_and_School_Climate;Socio-Emotional_Intervention,CHN;HKG;MAC;TWN;JPN;KOR;SGP,Multi-Country,Traditional_Stats,4,"Using PISA 2018 digital reading data for ESCS-disadvantaged students across seven East Asian economies, the study leveraged metacognitive reading strategies (assessing credibility, summarizing, understanding/remembering) and reading enjoyment—along with selected ICT, school climate, and teacher-practice variables—to classify academically resilient (ARS) versus non-academically resilient (NRS) students, finding that the SVM achieved strong discrimination (AUC≈94.86%) with the top 20 contextual features."
40. Kim et al. (2024). Exploring Influencing Factors at Student and Teacher:School levels on Science Self-efficacy Using Machine Learning and Multilevel Latent Profile Analysis.pdf,LightGBM,Science self-efficacy (WLE index),Socio-Emotional_Intervention,SGP;JPN;EST;FIN;KOR,Multi-Country,Ensemble_Learning,3,"Using PISA 2015 Science data (SGP, JPN, EST, FIN, KOR) at the student level, the study leveraged environmental awareness, index science activities, epistemological beliefs, interest in broad science topics, and test anxiety to predict science self-efficacy (WLE), finding that LightGBM achieved the smallest prediction error (RMSE = 0.960) among the evaluated regression models."
"41. Immekus et al. (2022). Machine learning procedures for predictor variable selection for schoolwork‑related anxiety: evidence from PISA 2015 mathematics, reading, and science assessments.pdf",LASSO,Schoolwork-related anxiety (ANXTEST),Governance_and_School_Climate;Socio-Emotional_Intervention,USA,Country-Specific,Hybrid_Penalized,4,"Using PISA 2015 (US students) the study leveraged Gender, achievement goals (want top grades), sense of belonging (feeling like an outsider), and prior achievement (mathematics and reading PV1) to predict schoolwork-related anxiety (ANXTEST), finding that LASSO and Elastic Net outperformed Random Forest in RMSE while yielding comparable predictor-selection patterns across 100 split-iterations."
42. Gil-Madrona et al. (2025). What Are the Best Predictors of STEM Competences in PISA 2018? An Analysis of the Spanish Context Using Data Mining.pdf,Ridge Regression,Mathematics achievement (averaged PISA-derived variables) | Science achievement (averaged PISA-derived variables),Curriculum_and_Instruction;Socio-Emotional_Intervention,ESP,Country-Specific,Hybrid_Penalized,4,"Using PISA 2018 Spain the study leveraged ICT access and use, student well-being, supportive school context, household possessions/background, and metacognition to predict mathematics achievement, finding that the Ridge model achieved the highest prediction percentage (56.10%) among the three learners."
43. Hu et al. (2025). Predicting adolescents’ environmental action: From individual to national-level factors using an explainable machine learning approach.pdf,LightGBM,Private-sphere environmental actions (classification) | Public-sphere environmental actions (classification),Governance_and_School_Climate;Socio-Emotional_Intervention,Unspecified,Unspecified,Ensemble_Learning,3,"Using PISA 2018 the study leveraged environmental attitude, critical thinking, climate-change explanatory capacity, school collaboration atmosphere, and sense of life meaning to predict private-sphere environmental actions, finding that individual and school-level factors were most influential and that LightGBM achieved the best overall validation/test performance while XGBoost was selected as the final private-action model based on accuracy/robustness."
44. Lezhnina & Kismihók. (2021). Combining statistical and machine learning methods to explore German students  attitudes towards ICT in PISA.pdf,Random Forest,Mathematics proficiency level (categorical) | Science proficiency level (categorical) | Mathematical literacy (continuous; PV-based) | Scientific literacy (continuous; PV-based),Resource_Allocation_Equity,DEU,Country-Specific,Ensemble_Learning,4,"Using PISA 2015 Germany the study leveraged ICT autonomy, socioeconomic status (ESCS), gender, ICT interest, and ICT competence to predict mathematics proficiency level categories, finding that ICT autonomy was among the most important predictors and that higher autonomy increased the probability of Level 5+ while lower autonomy increased the probability of below Level 2."
45. Öz et al. (2024). Stacking: An ensemble learning approach to predict student performance in PISA 2022.pdf,Stacking,Mathematics achievement (PVs) | Reading achievement (PVs) | Science achievement (PVs),Socio-Emotional_Intervention,AUT;BEL;BGR;BRA;CAN;CHE;CHL;CHN;COL;CRI;CZE;DEU;DNK;ESP;EST;FIN;FRA;GBR;GRC;HKG;HRV;HUN;IDN;IRL;ISL;ISR;ITA;JPN;KOR;LTU;LVA;MAC;MEX;NLD;NOR;NZL;POL;PRT;QAT;ROU;SAU;SGP;SVK;SVN;SWE;TUR;TWN;USA;ZAF,Global,Ensemble_Learning,3,"Using PISA 2022 mathematics PV the study leveraged stacking (with ridge regression as the level-1 meta-learner) to predict mathematics achievement, finding that stacking achieved the lowest error metrics (MAPE/MAE/MSE) for the vast majority of countries compared with XGBoost, HGB, LightGBM, and blending."
"46. Peng et al. (2023). Examining ICT attitudes, use and support in blended learning settings for students’ reading performance_ Approaches of artificial intelligence and multilevel model.pdf",Random Forest,Reading achievement (Plausible Values) | Reading achievement (Plausible Values) — multilevel effects,Resource_Allocation_Equity,AUS;AUT;BEL;CHL;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;ISL;IRL;ISR;ITA;JPN;KOR;LVA;LTU;LUX;MEX;NZL;POL;SVK;SVN;ESP;SWE;CHE;TUR;GBR;USA,Global,Ensemble_Learning,3,"Using PISA 2018 Reading data for 15-year-olds in blended test language classes, the study leveraged socioeconomic status (ESCS), ICT use at school, interest in ICT, ICT use outside for schoolwork, and ICT use outside for entertainment to predict reading achievement (Plausible Values), finding that the retained ICT-related feature set collectively predicted reading performance with moderate fit (R² = 0.38) and that student-level ICT-related factors were most important in the RF feature-importance ranking."
"47. Haw & King. (2023). Understanding Filipino students’ achievement in PISA_ The roles of personal characteristics, proximal processes, and social contexts.pdf",Random Forest,Reading achievement (PVs),Curriculum_and_Instruction;Resource_Allocation_Equity;Governance_and_School_Climate;Socio-Emotional_Intervention,PHL,Country-Specific,Ensemble_Learning,4,"Using PISA 2018 Philippines the study leveraged self-concept of reading difficulty, fixed mindset, socioeconomic status (ESCS), grade repetition, and school belongingness to predict reading achievement (plausible values), finding that self-concept of reading difficulty was the strongest predictor and that personal characteristics, proximal processes, and contextual factors jointly explained about 64% of variance in the unobserved sample (RF), with broadly similar but smaller effects in the follow-up HLM (R²=0.53)."
48. Pan & Cutumisu. (2022). Using machine learning to predict UK and Japanese secondary students' life satisfaction in PISA 2018.pdf,Random Forest,Life satisfaction (0–10 scale),Resource_Allocation_Equity;Teacher_Workforce_Development;Governance_and_School_Climate;Socio-Emotional_Intervention,GBR;JPN,Multi-Country,Ensemble_Learning,4,"Using PISA 2018 (UK) the study leveraged meaning in life, motivation to master tasks, student competition, ICT resources, and exposure to bullying to predict students' life satisfaction, finding that the Random Forest model outperformed k-NN and achieved higher predictive fit (test R² ≈ 0.187 vs."
49. Bernardo et al. (2022). Contrasting Profiles of Low-Performing Mathematics Students in Public and Private Schools in the Philippines: Insights from Machine Learning.pdf,Random Forest,Low math performance (PV1MATH below Level 1),Curriculum_and_Instruction;Resource_Allocation_Equity;Governance_and_School_Climate;Socio-Emotional_Intervention,PHL,Country-Specific,Ensemble_Learning,3,"Using PISA 2018 Philippines public-school the study leveraged mobile/internet access at home, vocational-degree expectations, metacognitive email-response judgment, parents’ occupational status, and motivation/persistence to master tasks to classify students as low vs better mathematics performers, finding that Random Forest achieved the highest validation accuracy (0.79) and that resource-constraint and aspiration-related variables were among the most influential predictors (as indicated by SHAP)."
5. Song & Cutumisu. (2024). Using machine learning to predict student science achievement based on science curriculum type in TIMSS 2019.pdf,Random Forest,Science achievement (Plausible Values BSSSCI01–BSSSCI05),Curriculum_and_Instruction;Resource_Allocation_Equity,AFG;ALB;DZA;ARG;AUS;AUT;AZE;BHR;BEL;BWA;BRA;BGR;CAN;CHL;CHN;COL;CRI;CZE;DNK;DOM;EGY;EST;FIN;FRA;DEU;GHA;GRC;HKG;HUN;ISL;IND;IDN;IRN;IRL;ISR;ITA;JPN;JOR;KOR;KWT;LVA;LTU;LUX;MAC;MYS;MEX;MAR;NLD;NZL;NOR;OMN;PAK;PER;PHL;POL;PRT;QAT;ROU;RUS;SAU;SGP;SVK;SVN;ZAF;ESP;SWE;CHE;TWN;TUR;ARE;GBR;USA;VNM,Global,Ensemble_Learning,3,"Using TIMSS 2019 Grade 8 Science the study leveraged socioeconomic background, science confidence, instructional time, and science experiment frequency (with curriculum type as a key comparison variable) to predict science achievement using Random Forest, finding that Random Forest outperformed linear regression, lasso regression, decision trees, and neural networks and that curriculum type had only a weak direct predictive role while integrated curricula showed a small positive advantage after propensity score matching."
"50. Rico-Juan et al. (2024). Holistic exploration of reading comprehension skills, technology and socioeconomic factors in Spanish teenagers.pdf",CatBoost,Reading comprehension skills (PVREAD mean),Resource_Allocation_Equity,ESP,Country-Specific,Ensemble_Learning,3,"Using PISA 2018 Spain reading comprehension the study leveraged playing online games, daily internet use (weekdays), perceived ICT competence, perceived ICT autonomy, and mother’s education level to predict reading comprehension skills, finding that online gaming is the strongest negative factor while moderate weekday internet use and positive ICT perceptions are associated with higher reading scores; CatBoost provided the best predictive performance under RMSE-based 10-fold cross-validation."
51. Jewsbury et al. (2025). Irt‑latent regression with many predictors: limits and solutions.pdf,None,Literature synthesis outcome (not student-level prediction),Cross-Cutting_Methodological,Unspecified,Unspecified,Review_or_Methodology,2,"Using OECD the study leveraged the reported predictors to predict Literature synthesis outcome (not student-level prediction), finding that This paper is a simulation/theory study of IRT-latent regression with many predictors and its impact on PV-based inferences in large-scale assessments."
"52. Hu et al. (2023). Decoding Contextual Factors Differentiating Adolescents’ High, Average, and Low Digital Reading Performance Through Machine-Learning Methods .pdf",SVM,High vs low digital reading performance (binary classification using PV1) | High vs average digital reading performance (binary classification using PV1) | Low vs average digital reading performance (binary classification using PV1),Resource_Allocation_Equity;Governance_and_School_Climate;Socio-Emotional_Intervention,USA,Country-Specific,Traditional_Stats,4,"Using PISA 2018 Digital Reading the study leveraged socioeconomic status (ESCS), expected occupational status (BSMJ), enjoyment of reading (JOYREAD), reading competence perception (SCREADCOPM), and reading difficulty perception (SCREADDIFF) to predict high versus low digital reading performance (binary outcome based on OECD proficiency cutoffs using PV1)."
53. Tin et al. (2024). Educational Big Data Mining: Comparison of Multiple Machine Learning Algorithms in Predictive Modelling of Student Academic Performance.pdf,Gradient Boosted Trees,Academic performance (AP) categories A–D (proxy for CGPA),Resource_Allocation_Equity;Socio-Emotional_Intervention,Unspecified,Unspecified,Ensemble_Learning,3,"Using PISA 2018 the study leveraged reading skills and habits, home learning environment, career goals/mindset, family background, and mental health to predict academic performance categories (A–D) derived from PISA plausible values, finding that Gradient Boosted Trees achieved the highest classification performance (Accuracy 73.7%, Recall 88.3%)."
54. Soares. (2024). Combining Statistical and Machine Learning Methods to Identify Predictors of Brazilian Students’ Pro ciency in PISA 2018.pdf,Random Forest,Mathematics proficiency (Low vs Proficient) | Science proficiency (Low vs Proficient) | Reading proficiency (Low vs Proficient),Curriculum_and_Instruction;Governance_and_School_Climate,BRA,Country-Specific,Ensemble_Learning,4,"Using PISA 2018 Mathematics data for Brazil, the study leveraged annual household income and metacognition subscales (summarizing, assessing credibility, understanding/remembering) along with parents’ highest occupational status to predict mathematics proficiency (Low vs Proficient), finding that higher socioeconomic resources and stronger metacognitive skills increased the odds of being proficient, while grade repetition and additional instruction were associated with lower odds."
55. Ramazan et al. (2023). Students’ 2018 PISA reading self-concept: Identifying predictors and examining model generalizability for emergent bilinguals.pdf,Elastic Net,Reading self-concept (composite scale),Curriculum_and_Instruction;Resource_Allocation_Equity;Teacher_Workforce_Development;Socio-Emotional_Intervention,USA,Country-Specific,Hybrid_Penalized,3,"Using PISA 2018 Reading data for the United States, the study leveraged reading habits, perceived ICT competence, work mastery, teacher understanding, and father’s education to predict students’ reading self-concept, finding that reading habits and mastery/competence beliefs were strong positive predictors while ICT availability/use and subjective well-being were negative predictors; teacher-level predictors were not significant in the full MLM."
56. Wang et al. (2022). What explains Macau students’ achievement? An integrative perspective using a machine learning approach.pdf,Random Forest,Reading achievement (Plausible Values),Curriculum_and_Instruction;Governance_and_School_Climate;Socio-Emotional_Intervention,MAC,Country-Specific,Ensemble_Learning,3,"Using PISA 2018 Reading data for Macau students (restricted to Chinese test-language participants), the study leveraged metacognition, enjoyment of reading, reading self-concept, and demographic factors (grade repetition and grade level) to predict reading achievement (Plausible Values), finding that personal factors—especially metacognitive strategies and reading enjoyment—were the most important predictors, while school/family contexts showed lower predictive power."
